locality,postcode
Bad Arolsen,34454
Bad Bayersoien,82435
Bad Bellingen,79415
Bad Belzig,14806
Bad Bentheim,48455
Badbergen,49635
Bad Bergzabern,76887
Bad Berka,99438
Bad Berleburg,57319
Bad Berneck im Fichtelgebirge,95460
Bad Bertrich,56864
Bad Bevensen,29549
Bad Bibra,06647
Bad Birnbach,84364
Bad Blankenburg,07422
Bad Bocklet,97708
Bad Bodenteich,29389
Bad Boll,73087
Bad Brambach,08648
Bad Bramstedt,24576
Bad Breisig,53498
Bad Brückenau,97769
Bad Buchau,88422
Bad Camberg,65520
Baddeckenstedt,38271
Bad Ditzenbach,73312
Bad Ditzenbach,73342
Bad Ditzenbach,73345
Bad Doberan,18209
Bad Driburg,33014
Bad Düben,04849
Bad Dürkheim,67098
Bad Dürrenberg,06231
Bad Dürrheim,78073
Bad Eilsen,31707
Bad Elster,08645
Badem,54657
Bad Ems,56130
Bad Emstal,34308
Baden-Baden,76530
Baden-Baden,76532
Baden-Baden,76534
Bad Endbach,35080
Badendorf,23619
Bad Endorf,83093
Badenhard,56291
Badenheim,55576
Badenweiler,79410
Bad Essen,49152
Bad Fallingbostel,29683
Bad Feilnbach,83075
Bad Frankenhausen/Kyffhäuser,06567
Bad Freienwalde (Oder),16259
Bad Friedrichshall,74177
Bad Füssing,94072
Bad Gandersheim,37581
Bad Gottleuba-Berggießhübel,01816
Bad Griesbach i.Rottal,94086
Bad Grönenbach,87730
Bad Grund,37539
Bad Harzburg,38667
Bad Heilbrunn,83670
Bad Herrenalb,76332
Bad Hersfeld,36251
Bad Hindelang,87541
Bad Homburg vor der Höhe,61348
Bad Homburg vor der Höhe,61350
Bad Homburg vor der Höhe,61352
Bad Honnef,53604
Bad Hönningen,53547
Bad Hönningen,53557
Bad Iburg,49186
Bad Karlshafen,34385
Bad Kissingen,97688
Bad Kleinen,23996
Bad Klosterlausnitz,07639
Bad Kohlgrub,82433
Bad König,64732
Bad Königshofen im Grabfeld,97631
Bad Köstritz,07586
Bad Kötzting,93444
Bad Kreuznach,55543
Bad Kreuznach,55545
Bad Kreuznach,55583
Bad Krozingen,79189
Bad Laasphe,57334
Bad Laer,49196
Bad Langensalza,99947
Bad Lausick,04651
Bad Lauterberg,37431
Bad Liebenstein,36448
Bad Liebenwerda,04895
Bad Liebenwerda,04924
Bad Liebenwerda,04931
Bad Liebenzell,75378
Bad Lippspringe,33175
Bad Lobenstein,07356
Bad Marienberg (Westerwald),56470
Bad Mergentheim,97980
Bad Münder am Deister,31848
Bad Münstereifel,53902
Bad Muskau - Mužakow,02953
Bad Nauheim,61231
Bad Nenndorf,31542
Bad Neuenahr-Ahrweiler,53474
Bad Neustadt an der Saale,97616
Bad Oeynhausen,32545
Bad Oeynhausen,32547
Bad Oeynhausen,32549
Bad Oldesloe,23843
Bad Orb,63619
Bad Peterstal-Griesbach,72250
Bad Peterstal-Griesbach,77740
Bad Pyrmont,31812
Bad Rappenau,74906
Bad Reichenhall,83435
Bad Rippoldsau-Schapbach,77776
Bad Rodach,96476
Bad Rothenfelde,49214
Bad Saarow,15526
Bad Sachsa,37441
Bad Säckingen,79713
Bad Salzdetfurth,31162
Bad Salzschlirf,36364
Bad Salzuflen,32105
Bad Salzuflen,32107
Bad Salzuflen,32108
Bad Salzungen,36433
Bad Salzungen,36460
Bad Salzungen,36469
Bad Salzungen,99819
Bad Sassendorf,59505
Bad Saulgau,88348
Bad Schandau,01814
Bad Schmiedeberg,06905
Bad Schönborn,76669
Bad Schussenried,88427
Bad Schwalbach,65307
Bad Schwartau,23611
Bad Segeberg,23795
Bad Sobernheim,55566
Bad Soden,65812
Bad Soden-Salmünster,63628
Bad Sooden-Allendorf,37242
Bad Staffelstein,96231
Bad Steben,95138
Bad Sulza,99518
Bad Sülze,18334
Bad Tabarz,99891
Bad Teinach-Zavelstein,75385
Bad Tennstedt,99955
Bad Tölz,83646
Bad Überkingen,73337
Bad Urach,72574
Bad Vilbel,61118
Bad Waldsee,88339
Bad Wiessee,83707
Bad Wildbad,75323
Bad Wildungen,34537
Bad Wilsnack,19336
Bad Wimpfen,74206
Bad Windsheim,91438
Bad Wörishofen,86825
Bad Wünnenberg,33181
Bad Wurzach,88410
